# x,y,theta,scalar_mag 
-3.0,-1.75,1.3836558258012523,42476.181 
-2.75,-1.75,1.7511358604479326,41538.005 
-2.5,-1.75,1.746370241035507,41652.191 
-2.25,-1.75,1.7114220085801897,42427.682 
-2.0,-1.75,1.7437059393489434,42656.946 
-1.75,-1.75,1.7404835809713795,42269.835 
-1.5,-1.75,1.7071275226905824,41799.316 
-1.25,-1.75,1.7393113333818941,42259.682 
-1.0,-1.75,1.7380080059558252,43493.8 
-0.75,-1.75,1.7583668825067404,43354.059 
-0.5,-1.75,1.753006389514979,41811.121 
-0.25,-1.75,1.7024601263783017,41137.128 
0.0,-1.75,1.7502932779358717,41780.23 
0.25,-1.75,1.7410010128219657,43059.048 
0.5,-1.75,1.7004454426330058,43430.668 
0.75,-1.75,1.7487995875995608,42339.012 
1.0,-1.75,1.7506905293297663,41015.139 
1.25,-1.75,1.747571202815879,40621.765 
1.5,-1.75,1.7393027786358497,40352.161 
1.75,-1.75,1.7397602649015746,40602.22 
2.0,-1.75,1.7228315502317428,41087.122 
2.25,-1.75,1.7127300113600001,40745.64 
2.5,-1.75,1.7049870509070988,39832.283 
2.75,-1.75,1.7117075358277998,39307.349 
3.0,-1.75,1.7530098597238548,40044.706 
-3.0,-1.5,1.7373852805413872,42602.607 
-2.75,-1.5,1.7049861703213263,41675.099 
-2.5,-1.5,1.7398810197418546,41446.278 
-2.25,-1.5,1.70213111502514,41686.363 
-2.0,-1.5,1.7062666273448825,41411.387 
-1.75,-1.5,1.712910474971137,40745.477 
-1.5,-1.5,1.7387310426204496,40053.723 
-1.25,-1.5,1.7127873402462483,40862.852 
-1.0,-1.5,1.7503321457665915,42589.962 
-0.75,-1.5,1.754875551693927,43032.408 
-0.5,-1.5,1.7079364144008182,41756.93 
-0.25,-1.5,1.737206096204605,41024.222 
0.0,-1.5,1.7542951753758258,41585.956 
0.25,-1.5,1.7051964204636616,42802.223 
0.5,-1.5,1.74494369192058,43289.597 
0.75,-1.5,1.747596907942614,42467.269 
1.0,-1.5,1.7426739338499069,41394.926 
1.25,-1.5,1.743651422910535,41076.4 
1.5,-1.5,1.7494802336289004,40620.309 
1.75,-1.5,1.703886513323737,40638.872 
2.0,-1.5,1.7423311716692833,41071.773 
2.25,-1.5,1.7521347178438955,40814.515 
2.5,-1.5,1.7472164990028591,39934.208 
2.75,-1.5,1.7039207337642899,39389.991 
3.0,-1.5,1.7217394273076663,39934.448 
-3.0,-1.25,1.4375056015649519,42970.577 
-2.75,-1.25,1.748785926377623,41818.199 
-2.5,-1.25,1.7403257067346212,41306.785 
-2.25,-1.25,1.7381834444201052,41221.362 
-2.0,-1.25,1.7430834319481485,40496.785 
-1.75,-1.25,1.743786650750959,39327.705 
-1.5,-1.25,1.7036171929418111,38750.823 
-1.25,-1.25,1.7439446157545822,40122.402 
-1.0,-1.25,1.7179509305910332,42428.089 
-0.75,-1.25,1.7380163143240075,43031.437 
-0.5,-1.25,1.7519634547335288,41933.548 
-0.25,-1.25,1.7506792069816517,41265.468 
0.0,-1.25,1.7033169669336274,41631.531 
0.25,-1.25,1.7190833977049815,42758.25 
0.5,-1.25,1.7464554906642353,43304.185 
0.75,-1.25,1.7439648568728876,42775.3 
1.0,-1.25,1.7515847311809956,42004.324 
1.25,-1.25,1.7404224741407546,41950.102 
1.5,-1.25,1.7013594592571237,41633.532 
1.75,-1.25,1.7398812487275843,41775.488 
2.0,-1.25,1.7126669807906418,42187.525 
2.25,-1.25,1.7100727439199443,41722.649 
2.5,-1.25,1.753111788110528,40377.723 
2.75,-1.25,1.7127401910724547,39555.328 
3.0,-1.25,1.7317460515948617,40036.569 
-3.0,-1.0,1.4022562963177105,42711.903 
-2.75,-1.0,1.752252235005066,41215.411 
-2.5,-1.0,1.7459706998538396,40766.888 
-2.25,-1.0,1.7417038533419462,40818.384 
-2.0,-1.0,1.7440078814538031,40110.877 
-1.75,-1.0,1.7372603600144063,38511.27 
-1.5,-1.0,1.7462209923291536,37834.529 
-1.25,-1.0,1.7394692990141043,39964.68 
-1.0,-1.0,1.7487249872183392,42196.666 
-0.75,-1.0,1.745471219705828,41853.235 
-0.5,-1.0,1.7537033073734674,40794.875 
-0.25,-1.0,1.7014925103030498,40382.433 
0.0,-1.0,1.708008582891094,41110.822 
0.25,-1.0,1.7055365798925024,42473.054 
0.5,-1.0,1.7487157986972908,43049.195 
0.75,-1.0,1.7407437995393,42653.884 
1.0,-1.0,1.7457049685641959,42130.214 
1.25,-1.0,1.746668010779181,42147.582 
1.5,-1.0,1.752836463246147,42052.323 
1.75,-1.0,1.7432290250645919,42577.111 
2.0,-1.0,1.7342785126755778,43276.21 
2.25,-1.0,1.7048428468142347,42649.15 
2.5,-1.0,1.745858504549208,41320.784 
2.75,-1.0,1.7067044618784242,40704.766 
3.0,-1.0,1.7492986026714699,40874.823 
-3.0,-0.75,1.4486267206206904,42458.105 
-2.75,-0.75,1.7410272527103574,40893.33 
-2.5,-0.75,1.7417674677378145,40319.181 
-2.25,-0.75,1.7361709613017007,40477.4 
-2.0,-0.75,1.740589905456079,39668.731 
-1.75,-0.75,1.7539778307689518,37788.77 
-1.5,-0.75,1.7486140949819333,36345.596 
-1.25,-0.75,1.739754039627455,36984.637 
-1.0,-0.75,1.7469420405580258,38078.065 
-0.75,-0.75,1.746082627866895,38428.68 
-0.5,-0.75,1.7480745636862207,38641.578 
-0.25,-0.75,1.7042348487272125,39005.567 
0.0,-0.75,1.7130172100995602,40503.018 
0.25,-0.75,1.7447161396037296,42355.543 
0.5,-0.75,1.7455274796712683,43133.576 
0.75,-0.75,1.7120648909577583,42544.28 
1.0,-0.75,1.742663308401651,41590.201 
1.25,-0.75,1.7454938607205057,41268.889 
1.5,-0.75,1.751707035839483,41249.807 
1.75,-0.75,1.7479253204551515,41980.501 
2.0,-0.75,1.7496795027438519,42798.461 
2.25,-0.75,1.7422504926787548,42559.843 
2.5,-0.75,1.707017910774938,41776.611 
2.75,-0.75,1.751968235447168,41195.707 
3.0,-0.75,1.7550337404136576,41619.605 
-3.0,-0.5,1.69921083812644,42540.812 
-2.75,-0.5,1.7454507744278545,41684.731 
-2.5,-0.5,1.7483618749010075,41413.161 
-2.25,-0.5,1.7063984615645442,41263.959 
-2.0,-0.5,1.7098619235625039,40139.456 
-1.75,-0.5,1.7180999185631176,37812.523 
-1.5,-0.5,1.749593721132488,35634.654 
-1.25,-0.5,1.5635252339080934,35611.121 
-1.0,-0.5,1.7395910984409686,36539.148 
